image_name,tags
test_0,clear
test_1,clear
test_2,partly_cloudy
test_3,clear
test_4,partly_cloudy
test_5,clear
test_6,partly_cloudy
test_7,clear
test_8,clear
test_9,partly_cloudy
test_10,partly_cloudy
test_11,clear
test_12,cloudy
test_13,clear
test_14,clear
test_15,clear
test_16,clear
test_17,partly_cloudy primary
test_18,clear primary
test_19,clear
test_20,clear
test_21,clear
test_22,clear
test_23,cloudy
test_24,partly_cloudy
test_25,clear primary
test_26,partly_cloudy agriculture
test_27,clear
test_28,clear
test_29,clear
test_30,partly_cloudy
test_31,cloudy
test_32,clear primary
test_33,clear
test_34,cloudy
test_35,clear
test_36,clear
test_37,clear
test_38,clear primary
test_39,clear
test_40,clear
test_41,partly_cloudy
test_42,clear
test_43,clear
test_44,clear
test_45,haze
test_46,haze
test_47,clear
test_48,clear
test_49,clear
test_50,clear
test_51,clear
test_52,clear
test_53,clear
test_54,clear primary
test_55,partly_cloudy
test_56,clear primary
test_57,clear
test_58,clear primary
test_59,clear
test_60,clear
test_61,cloudy
test_62,haze
test_63,clear primary
test_64,clear
test_65,clear primary
test_66,clear primary
test_67,clear
test_68,cloudy
test_69,clear
test_70,clear primary
test_71,partly_cloudy
test_72,clear
test_73,partly_cloudy
test_74,partly_cloudy
test_75,partly_cloudy
test_76,clear
test_77,clear
test_78,clear
test_79,clear
test_80,cloudy
test_81,cloudy
test_82,clear
test_83,clear
test_84,haze
test_85,clear
test_86,clear
test_87,partly_cloudy
test_88,clear
test_89,cloudy
test_90,cloudy
test_91,clear
test_92,cloudy
test_93,clear
test_94,clear
test_95,partly_cloudy
test_96,partly_cloudy
test_97,clear primary
test_98,partly_cloudy
test_99,cloudy
test_100,clear water
test_101,clear
test_102,clear primary
test_103,clear
test_104,partly_cloudy
test_105,clear
test_106,haze primary
test_107,clear
test_108,partly_cloudy
test_109,partly_cloudy
test_110,partly_cloudy primary
test_111,partly_cloudy primary
test_112,partly_cloudy
test_113,clear primary
test_114,clear
test_115,clear
test_116,partly_cloudy
test_117,partly_cloudy
test_118,clear
test_119,clear
test_120,clear
test_121,clear primary
test_122,clear
test_123,partly_cloudy
test_124,clear primary
test_125,partly_cloudy
test_126,clear
