image_name,tags
test_0,haze primary water
test_1,primary clear
test_2,primary water partly_cloudy
test_3,haze primary water
test_4,primary partly_cloudy
test_5,primary clear water
test_6,primary clear water
test_7,primary clear
test_8,cloudy
test_9,cloudy
test_10,primary partly_cloudy
test_11,primary agriculture partly_cloudy
test_12,cloudy
test_13,primary agriculture water road partly_cloudy
test_14,haze primary water
test_15,primary water partly_cloudy
test_16,primary agriculture clear water
test_17,primary partly_cloudy
test_18,cloudy
test_19,primary clear water
test_20,primary clear
test_21,cloudy
test_22,primary clear water
test_23,cloudy
test_24,cloudy
test_25,primary clear water road
test_26,primary clear water
test_27,primary water partly_cloudy
test_28,primary clear water
test_29,haze primary water
test_30,primary water partly_cloudy
test_31,cloudy
test_32,haze primary
test_33,cloudy
test_34,cloudy
test_35,primary agriculture partly_cloudy
test_36,cloudy
test_37,cloudy
test_38,primary water partly_cloudy
test_39,primary partly_cloudy
test_40,primary clear water
test_41,primary agriculture partly_cloudy
test_42,primary clear
test_43,primary clear road
test_44,primary water partly_cloudy
test_45,cloudy
test_46,primary partly_cloudy
test_47,primary partly_cloudy
test_48,primary clear water road
test_49,haze primary water
test_50,primary water partly_cloudy
test_51,primary clear water
test_52,primary water partly_cloudy
test_53,primary agriculture clear water
test_54,primary clear water road
test_55,primary partly_cloudy
test_56,cloudy
test_57,primary clear
test_58,primary clear water
test_59,primary clear water
test_60,primary agriculture clear water road
test_61,cloudy
test_62,cloudy
test_63,primary clear
test_64,primary agriculture water partly_cloudy
test_65,haze primary
test_66,primary clear water
test_67,primary clear road
test_68,cloudy
test_69,primary partly_cloudy
test_70,haze primary
test_71,primary agriculture partly_cloudy
test_72,primary clear water
test_73,primary water partly_cloudy
test_74,primary water partly_cloudy
test_75,primary water partly_cloudy
test_76,primary agriculture clear water road
test_77,primary agriculture clear road
test_78,haze primary water
test_79,primary agriculture partly_cloudy
test_80,cloudy
test_81,cloudy
test_82,primary agriculture water partly_cloudy
test_83,primary partly_cloudy
test_84,primary clear water
test_85,primary clear water
test_86,primary clear water road
test_87,primary partly_cloudy
test_88,primary clear
test_89,primary clear
test_90,cloudy
test_91,primary agriculture water partly_cloudy
test_92,primary clear
test_93,haze primary
test_94,primary clear road bare_ground
test_95,primary partly_cloudy
test_96,cloudy
test_97,cloudy
test_98,primary partly_cloudy
test_99,cloudy
